#CODE,GENERIC UPC,SPECIFIC UPC
CLL01HT,222279,222347
CLL03HT,222279,206767
CLL06HT,222279,222330
CLL14HT,222279,222323
CLLLCAHT,222286,249030
CR112HT,198529,198710
CR114HT,198529,211259
CR115HT,198529,235361
CR116HT,198529,235378
CR11HT,198529,198765
CR12HT,198529,198727
CR13HT,198529,198697
CR14HT,198529,220039
CR15HT,198529,198758
CR16HT,198529,198703
CR17HT,198529,198628
CRCARG117HT,239242,239246
CRCARG5HT,198543,241201
CRD3HT,198543,229971
CRFLP3HT,249184,198864
CRHAW1HT,198543,231103
CRHAW2HT,198543,238577
crkcus,198693,198693
CRKU1HT,198543,231127
CRKU2HT,198543,238546
CRMA1HT,198543,231110
CRMA2HT,198543,238560
CROCHT,198543,220732
CRPALMSC114HT,198543,241850
CRPALMSC3HT,198543,241867
CRPALMSC6HT,198543,241874
CRPALMSC6ORHT,198543,326861
CRPALMSC9HT,198543,241843
CRPET3HT,198543,220862
CRXL1HT,198567,199694
CRXL3HT,198567,199687
CRXL4HT,198567,239475
CRXL5HT,198567,199700
CRXL6HT,198567,199724
FLT11HT,199564,199755
FLT1HT,199564,199731
HG12HT,198802,199816
HG1HT,198802,199830
HG3HT,198802,199823
HG5HT,198802,199847
HG6HT,198802,199854
HG9HT,198802,220510
lx104ht,237402,23702
RXDBHT,201397,230052
RXDBLHT,201397,239901
RXDPHT,201397,239895
RXDRHT,201397,239918
RXDYHT,201397,239888
RXSFBBRHT,201380,239970
RXSFBHT,201380,239963
RXSFBPGHT,201380,239994
rxsrbbyht,201380,239932
RXSRBHT,201380,239925
RXSRBPGHT,301380,239949
SC1HT,198581,199465
SC3HT,198581,199434
SC46HT,198581,221289
SC4HT,198581,199496
SC5HT,198581,199472
SC6HT,198581,199441
SCBL18HT,199977,215967
SCBL19HT,199977,215974
SCBL3HT,199977,201410
SCBL4HT,199977,204671
SCMLT2HT,199489,221326
SCMLT4HT,199489,221340
SCMLT5HT,199489,221357
SCMLT6HT,199489,221364
SCRL18HT,198574,200062
SCRL3HT,198574,200024
SCRL4HT,198574,200048
SCSL18HT,199960,200109
SCSL19HT,199960,200093
SCSL3HT,199960,200079
SCSL4HT,199960,200086
scsol3ht,232216,232223
SCSUL18HT,217022,221425
SCSUL3HT,217022,221418
SCSUL4HT,217022,221401
SUIT12HT,199106,198895
SUIT1HT,199106,199113
SUIT3HT,199106,198871
SUIT5HT,199106,199120
SUIT7HT,199106,198888
SUITC12HT,199137,199212
SUITC13HT,199137,199182
SUITC15HT,199137,226390
SUITC1HT,199137,199151
SUITC37HT,198734,219781
SUITC3HT,199137,199144
SUITC40HT,199137,219880
SUITC44HT,199137,219743
SUITC45HT,199137,219774
suitc46ht,199137,219767
suitc47ht,199137,219736
SUITC4HT,199137,219750
SUITC5HT,199137,199175
SUITC6HT,199137,199168
SUITCTHT,199137,219897
SUITM13HT,199557,199793
SUITM1HT,199557,216049
SUITM38HT,199861,219989
SUITM39HT,199861,219996
SUITM3HT,199557,199762
SUITM40HT,199861,220008
SUITM41HT,199861,220015
SUITM5HT,199557,199779
SUITM6HT,199557,216032
ta105ht,230670,231783
TA14HT,200383,216056
TA1HT,200383,218807
TA23HT,200383,229117
TA3HT,200383,200307
TA4HT,200383,218814
TA5HT,200383,218821
TA6HT,200383,218838
TA9HT,200383,206903
TAMI108HT,235941,218685
TAMI14HT,218791,218609
TAMI1HT,218791,218715
TAMI23HT,218791,229124
TAMI29HT,239017,238997
TAMI3HT,218791,204305
TAMI4HT,218791,217770
TAMI5HT,218791,240716
TAMI6HT,218791,205203
TAMI9HT,218791,205210
TAMILCAHT,204282,229100
TAPRTBHT,198918,360629
TASC14HT,200352,219200
TASC1HT,200352,219217
TASC23HT,200352,341918
TASC3HT,200352,200345
TASC4HT,200352,219224
TASC5HT,200352,230014
TASC6HT,200352,217299
TASC9HT,200352,219248
TASCBGFHT,199939,241669
TASCLCHT,199939,235422
TASCPRTBHT,199939,226383
TE01HT,226116,231400
TE03HT,226116,226130
TE04HT,226116,231417
TE05HT,226116,229988
TE06HT,226116,226154
TE06HT,226116,226154
TE14HT,226116,226178
TEBGFHT,226420,235439
tebht,226420,237983
TEK26HT,238393,236542
TELCAHT,226420,235446
TEN01HT,226123,231202
TEN03HT,226123,226147
TEN04HT,226123,360612
TEN05HT,226123,229995
TEN06HT,226123,226161
TEN14HT,226123,226185
tenbht,226420,236382
TENLCAHT,226420,231219
TK1HT,205098,221203
TK3HT,205098,200406
TK5HT,205098,221173
TKBGFHT,198932,360575
TKLCAHT,198932,360582
TNSC14HT,200680,219453
TNSC1HT,200680,219460
TNSC29HT,239084,239048
TNSC3HT,200680,219477
TNSC4HT,200680,219484
TNSC5HT,200680,335689
TNSC6HT,200680,219491
TNSC9HT,200680,219514
TNSCBGFHT,199946,231165
TNSCBGHHT,199946,219521
tnscbht,199946,219538
TNSCLCHT,199946,360605
TNSCPRTBHT,199946,360599
TR114HT,205098,222514
TR1DBHT,238102,360568
TR3HT,205098,222491
TR6HT,205098,222507
TRROLHT,222415,222477
WCC04HT,225744,235514
WCCERMBRHT,198635,221944
WCCERMBRZHT,198635,221937
WCCERMNKHT,198635,221951
WCCO13HT,225744,235507
WCCZ2HT,204329,221715
WCCZ6HT,204329,221722
WCCZ7HT,204329,230045
WCFIMOBRHT,198635,221913
WCFIMOBRZHT,198635,221906
WCFIMONKHT,198635,221920
WCHEMABRZHT,225737,229025
WCHEMAHHT,225737,229001
WCJSBGHT,225720,235521
WCJSCGHT,225720,232414
WCJSTGHT,225720,232391
WCPR12HT,237884,230588
WCWOOD01HT,200505,222187
WCWOOD02HT,200505,222217
WCWOOD03HT,200505,222200
WCWOOD05HT,200505,222194
WCWOOD09HT,200505,232421
WCWOOD10HT,200505,232438
